userID;userLastName;userFirstName;userEmail;userPhone;companyID
1275;Gross;Frank;f.gross@mediengeist.de;06821-581236;33333
1464;Klein;Lea;l.klein@mehrwohnen.de;08745-657412;78542
2435;Becker;Lara;l.becker@rabo.de;08721-657821;78952
2534;Flores;Sonia;s.flores@stadt-mustermann.de;02143-985355;85712
2789;Schulze;Doris;d.schulze@braubier.de;05213-85444;25412
3085;Klein;Robert;r.klein@braubier.de;05213-85433;25412
3312;Krieger;Anton;a.krieger@braubier.de;05213-85411;25412
3340;Weber;Robert;r.weber@braubier.de;05213-85472;25412
3543;Raab;Torsten;t.raab@bilderfreak.de;09542-872139;98572
4156;Schmitt ;Tina;t.schmitt@stadt-mustermann.de;02143-985321;85712
4242;Krüger;Martina;m.krueger@autopia.de;06587-85411;85412
4711;Berg;Thorsten;t.berg@autopia.de;06587-85488;85412
7195;Eberhardt;Bernd;b.eberhardt@sparkasse-heaven.de;08745-54199;52648
7416;Jung;Holger;h.jung@Isolation.de;06842-85412;65892
7682;Schneider;Tina;t.schneider@mehrwohnen.de;08745-657485;78542
7717;Thomas;Andrea;a.thomas@autopia.de;06587-85423;85412
8219;Winter;Noah;n.winter@bilderfreak.de;09542-872188;98572
8283;Keller ;Gregor;g.keller@bicyle.de;03217-74512;85421
8389;Marx;Nicole;n.marx@bicyle.de;03217-745569;85421
8742;Sommer;Sarah;s.sommer@mediengeist.de;06821-581255;33333
8837;Herrmann;Tina;t.herrmann@braubier.de;05213-85484;85412
9008;Lindner;Lena;l.lindner@Isolation.de;06842-85632;65892
9237;Müller;Markus;m.müller@rabo.de;08721-657845;78952
9824;Meyer;Tina;t.meyer@rabo.de;08721-657852;78952
9921;Kaufmann;Dietmar;d.kaufmann@sparkasse-heaven.de;08745-54123;52648
